Baseline 100%T,,R1 Sulfuric acid + Ferric Sulfate,,R2 Sulfuric acid + Ferric Sulfate,,R3 Sulfuric acid + Ferric Sulfate,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
634.0065918,0.1312918663,634.0065918,0.1961709261,634.0065918,0.06181830913,634.0065918,0.03958000988,
633.0123291,0.1312987059,633.0123291,0.1959013492,633.0123291,0.0612055324,633.0123291,0.03907616436,
632.0178223,0.1315251887,632.0178223,0.1953303069,632.0178223,0.06068026274,632.0178223,0.03851340711,
630.9862061,0.1313372999,630.9862061,0.195431307,630.9862061,0.06058334932,630.9862061,0.03831643611,
629.9910278,0.1313618571,629.9910278,0.1955095828,629.9910278,0.06007146463,629.9910278,0.03810245916,
628.9957275,0.1316363513,628.9957275,0.1950447559,628.9957275,0.05970999599,628.9957275,0.03716434911,
628.0001221,0.1319039464,628.0001221,0.1949484646,628.0001221,0.05882846937,628.0001221,0.03672097996,
627.0042114,0.1318844855,627.0042114,0.1948470175,627.0042114,0.05875736475,627.0042114,0.036726024,
626.0079346,0.132043004,626.0079346,0.1946288794,626.0079346,0.05794955418,626.0079346,0.03628068417,
625.0115356,0.1321041882,625.0115356,0.1951736808,625.0115356,0.05808325112,625.0115356,0.03616005927,
624.0148315,0.1321471781,624.0148315,0.1950882375,624.0148315,0.05745497346,624.0148315,0.03567229956,
623.0177612,0.1321393847,623.0177612,0.195387423,623.0177612,0.05738586932,623.0177612,0.03555822,
621.9835815,0.1322363913,621.9835815,0.1953416765,621.9835815,0.0568208769,621.9835815,0.03519710153,
620.9860229,0.1325081438,620.9860229,0.1953345686,620.9860229,0.05632899702,620.9860229,0.03480492905,
619.9880981,0.1328198463,619.9880981,0.1954707354,619.9880981,0.0558542423,619.9880981,0.03442459553,
618.9900513,0.1327829212,618.9900513,0.1955753267,618.9900513,0.05568715185,618.9900513,0.03451519832,
617.9916992,0.1330193281,617.9916992,0.1957030743,617.9916992,0.05563574657,617.9916992,0.03408132866,
616.993042,0.1328136027,616.993042,0.1960385442,616.993042,0.05534357578,616.993042,0.03419734538,
615.9940796,0.1328860372,615.9940796,0.1965521723,615.9940796,0.05509118736,615.9940796,0.03394384682,
614.9949341,0.1331575364,614.9949341,0.1963923275,614.9949341,0.05474640802,614.9949341,0.03362577036,
613.9954224,0.133242771,613.9954224,0.19673118,613.9954224,0.0544953607,613.9954224,0.03328908607,
612.9956665,0.1331321448,612.9956665,0.1964156032,612.9956665,0.05469957367,612.9956665,0.03340659663,
611.9957275,0.1332604289,611.9957275,0.1969666034,611.9957275,0.05447921902,611.9957275,0.03300701454,
610.9953613,0.133545354,610.9953613,0.197105065,610.9953613,0.05420571938,610.9953613,0.03314433992,
609.9949341,0.1335968375,609.9949341,0.1972399801,609.9949341,0.05394214764,609.9949341,0.03297774494,
608.9940796,0.133551985,608.9940796,0.1973138154,608.9940796,0.05389337987,608.9940796,0.03312114999,
607.992981,0.1336571872,607.992981,0.197390765,607.992981,0.05400894582,607.992981,0.03315610066,
606.9916382,0.1338060647,606.9916382,0.1980735213,606.9916382,0.05364399776,606.9916382,0.03300020099,
605.9900513,0.1337698549,605.9900513,0.1981077492,605.9900513,0.05345907435,605.9900513,0.03263293952,
604.9881592,0.1338801533,604.9881592,0.1983407289,604.9881592,0.05353461578,604.9881592,0.03291926533,
603.9859619,0.1340367496,603.9859619,0.1984090656,603.9859619,0.0535483174,603.9859619,0.03276596218,
602.9836426,0.133911863,602.9836426,0.1987413913,602.9836426,0.05352307856,602.9836426,0.03289656341,
602.0180664,0.1339061558,602.0180664,0.199093014,602.0180664,0.05343884602,602.0180664,0.03305561468,
